candidate,action_f1,point_f1,server_auc,overall,wA,wP,wR,betaA,betaP,timestamp
F3+TabPFN_ens(diag),0.2821,0.1754,0.601,0.3032,0.7,0.7,0.8,0.1,0.0,2026-05-28T20:32:49
F3+TabPFN_ens,0.2835,0.1754,0.601,0.3038,0.7,0.7,0.8,0.1,0.0,2026-05-28T20:36:15
LGBM+TabPFN+GRU,0.3043,0.1762,0.6145,0.3151,"(np.float64(0.4), np.float64(0.2), np.float64(0.4))","(np.float64(0.5), np.float64(0.3), np.float64(0.2))","(np.float64(0.2), np.float64(0.8), np.float64(0.0))",2026-05-28T22:10:11
LGBM+TabPFN+GRU,0.3043,0.1762,0.6145,0.3151,"(np.float64(0.4), np.float64(0.2), np.float64(0.4))","(np.float64(0.5), np.float64(0.3), np.float64(0.2))","(np.float64(0.2), np.float64(0.8), np.float64(0.0))",2026-05-28T22:12:10
LGBM+TabPFN+GRU,0.3043,0.1762,0.6145,0.3151,"(np.float64(0.4), np.float64(0.2), np.float64(0.4))","(np.float64(0.5), np.float64(0.3), np.float64(0.2))","(np.float64(0.2), np.float64(0.8), np.float64(0.0))",2026-05-28T22:14:16
